-
-
ㄱ consonant g|g
ㄲ consonant kk|kk
ㄳ consonant |gs
ㄴ consonant n|n
ㄵ consonant |nj
ㄶ consonant |nh
ㄷ consonant d|d
ㄹ consonant i|r~l
ㄺ consonant |lg
ㄻ consonant |lm
ㄼ consonant |lb
ㄽ consonant |ls
ㄾ consonant |lt
ㄿ consonant |lp
ㅀ consonant |lh
ㅁ consonant m|m
ㅂ consonant b|b
ㅄ consonant |bs
ㅅ consonant s|s
ㅆ consonant ss|ss
ㅇ consonant -|ng
ㅈ consonant j|j
ㅊ consonant ch|ch
ㅋ consonant k|k
ㅌ consonant t|t
ㅍ consonant p|p
ㅎ consonant h|h
